model,effect_type,metric,value,task
FE+AR,alpha,Bias,3.95516952522712e-17,fit
FE+AR,alpha,RMSE,0.0427093245137945,fit
FE+AR,alpha,Coverage,0.9,fit
FE+AR,alpha,CI_Width,0.1444625779078101,fit
FE+AR,beta,Bias,1.2490009027033013e-17,fit
FE+AR,beta,RMSE,0.0697313759769575,fit
FE+AR,beta,Coverage,0.9333333333333332,fit
FE+AR,beta,CI_Width,0.2545684427180982,fit
GP-CP,alpha,Bias,-4.163336342344337e-17,fit
GP-CP,alpha,RMSE,0.0294705643958517,fit
GP-CP,alpha,Coverage,0.85,fit
GP-CP,alpha,CI_Width,0.0920289812840269,fit
GP-CP,beta,Bias,8.326672684688674e-18,fit
GP-CP,beta,RMSE,0.0376589201478374,fit
GP-CP,beta,Coverage,0.9666666666666668,fit
GP-CP,beta,CI_Width,0.1537784953780283,fit
GP-CP-Extended,alpha,Bias,2.7755575615628914e-17,fit
GP-CP-Extended,alpha,RMSE,0.0292615167601522,fit
GP-CP-Extended,alpha,Coverage,0.9,fit
GP-CP-Extended,alpha,CI_Width,0.0917373537982735,fit
GP-CP-Extended,beta,Bias,1.8503717077085946e-18,fit
GP-CP-Extended,beta,RMSE,0.0376793033319132,fit
GP-CP-Extended,beta,Coverage,0.9666666666666668,fit
GP-CP-Extended,beta,CI_Width,0.1521014777967031,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,0.36659512972650593,extrapolation
FE+AR,beta,MAPE,186.24205487674718,extrapolation
FE+AR,beta,RMSE,0.3932390157197593,extrapolation
FE+AR,beta,Coverage,1.0,extrapolation
FE+AR,beta,CI_Width,1.2791365898440052,extrapolation
GP-CP,beta,MAE,0.20114853183794493,extrapolation
GP-CP,beta,MAPE,59.54811796584153,extrapolation
GP-CP,beta,RMSE,0.23143533203044786,extrapolation
GP-CP,beta,Coverage,1.0,extrapolation
GP-CP,beta,CI_Width,1.0182267730278314,extrapolation
GP-CP-Extended,beta,MAE,0.2335544454885069,extrapolation
GP-CP-Extended,beta,MAPE,68.14060969843354,extrapolation
GP-CP-Extended,beta,RMSE,0.2690098459172951,extrapolation
GP-CP-Extended,beta,Coverage,0.8,extrapolation
GP-CP-Extended,beta,CI_Width,0.9806540930330933,extrapolation
FE+AR,y,Bias,-0.21109986487166899,extrapolation_y
FE+AR,y,MAE,0.42305921495348575,extrapolation_y
FE+AR,y,RMSE,0.5041539582631197,extrapolation_y
GP-CP,y,Bias,0.016591450240392342,extrapolation_y
GP-CP,y,MAE,0.30970748702289685,extrapolation_y
GP-CP,y,RMSE,0.38612134041331775,extrapolation_y
GP-CP-Extended,y,Bias,0.016976159108624166,extrapolation_y
GP-CP-Extended,y,MAE,0.3338292356252482,extrapolation_y
GP-CP-Extended,y,RMSE,0.4125530113903311,extrapolation_y
FE+AR,tau_att,tau_mae_avg_over_cohorts,0.11141388341028052,placebo_te
GP-CP,tau_att,tau_mae_avg_over_cohorts,0.06633198926454038,placebo_te
GP-CP-Extended,tau_att,tau_mae_avg_over_cohorts,0.0903052394556559,placebo_te
FE+AR,tau_att,tau_rmse_avg_over_cohorts,0.11614648615547327,placebo_te
GP-CP,tau_att,tau_rmse_avg_over_cohorts,0.06926984795654466,placebo_te
GP-CP-Extended,tau_att,tau_rmse_avg_over_cohorts,0.09738457748338172,placebo_te
FE+AR,tau_att,tau_coverage_avg_over_cohorts,1.0,placebo_te
GP-CP,tau_att,tau_coverage_avg_over_cohorts,0.9991666666666668,placebo_te
GP-CP-Extended,tau_att,tau_coverage_avg_over_cohorts,1.0,placebo_te
FE+AR,tau_att,tau_ci_width_avg_over_cohorts,0.6484835401926237,placebo_te
GP-CP,tau_att,tau_ci_width_avg_over_cohorts,0.4660584147417098,placebo_te
GP-CP-Extended,tau_att,tau_ci_width_avg_over_cohorts,0.8512070202438619,placebo_te
FE+AR,tau_att,tau_ci_width_std_over_cohorts,0.4095749762135397,placebo_te
GP-CP,tau_att,tau_ci_width_std_over_cohorts,0.34773601079620375,placebo_te
GP-CP-Extended,tau_att,tau_ci_width_std_over_cohorts,0.26236583022996957,placebo_te
FE+AR,tau_att,att_avg_over_t,0.21585521659268872,placebo_te
GP-CP,tau_att,att_avg_over_t,-0.00995564344262888,placebo_te
GP-CP-Extended,tau_att,att_avg_over_t,-0.010397348976539817,placebo_te
FE+AR,tau_att,att_mae_vs_zero,0.21585521659268872,placebo_te
GP-CP,tau_att,att_mae_vs_zero,0.00995564344262888,placebo_te
GP-CP-Extended,tau_att,att_mae_vs_zero,0.010397348976539817,placebo_te
FE+AR,tau_att,att_rmse_vs_zero,0.21585521659268872,placebo_te
GP-CP,tau_att,att_rmse_vs_zero,0.00995564344262888,placebo_te
GP-CP-Extended,tau_att,att_rmse_vs_zero,0.010397348976539817,placebo_te
FE+AR,tau_att,att_coverage_vs_zero,0.0,placebo_te
GP-CP,tau_att,att_coverage_vs_zero,1.0,placebo_te
GP-CP-Extended,tau_att,att_coverage_vs_zero,1.0,placebo_te
FE+AR,tau_att,att_ci_width_avg_over_t,0.29622988077662565,placebo_te
GP-CP,tau_att,att_ci_width_avg_over_t,0.23267406859262024,placebo_te
GP-CP-Extended,tau_att,att_ci_width_avg_over_t,0.2881197168243399,placebo_te
