category,model,metric,value
scenC_seed1,FE+AR,tau_mae_avg_over_cohorts,0.1100727565491973
scenC_seed1,GP-CP,tau_mae_avg_over_cohorts,0.10022805336178253
scenC_seed1,GP-CP-Extended,tau_mae_avg_over_cohorts,0.12767006725137972
scenC_seed1,FE+AR,tau_rmse_avg_over_cohorts,0.11337748870256985
scenC_seed1,GP-CP,tau_rmse_avg_over_cohorts,0.10274147806534382
scenC_seed1,GP-CP-Extended,tau_rmse_avg_over_cohorts,0.1403589813421462
scenC_seed1,FE+AR,tau_coverage_avg_over_cohorts,0.9966666666666667
scenC_seed1,GP-CP,tau_coverage_avg_over_cohorts,0.89
scenC_seed1,GP-CP-Extended,tau_coverage_avg_over_cohorts,0.9966666666666666
scenC_seed1,FE+AR,tau_ci_width_avg_over_cohorts,0.6133482403390905
scenC_seed1,GP-CP,tau_ci_width_avg_over_cohorts,0.42180399626024007
scenC_seed1,GP-CP-Extended,tau_ci_width_avg_over_cohorts,0.974137341402681
scenC_seed1,FE+AR,tau_ci_width_std_over_cohorts,0.3096847948288115
scenC_seed1,GP-CP,tau_ci_width_std_over_cohorts,0.33350397255065856
scenC_seed1,GP-CP-Extended,tau_ci_width_std_over_cohorts,0.2596048562290663
scenC_seed1,FE+AR,att_avg_over_t,-0.07071095651188108
scenC_seed1,GP-CP,att_avg_over_t,0.008673374737451053
scenC_seed1,GP-CP-Extended,att_avg_over_t,0.008276281261023154
scenC_seed1,FE+AR,att_mae_vs_zero,0.07071095651188108
scenC_seed1,GP-CP,att_mae_vs_zero,0.008673374737451053
scenC_seed1,GP-CP-Extended,att_mae_vs_zero,0.008276281261023154
scenC_seed1,FE+AR,att_rmse_vs_zero,0.07071095651188108
scenC_seed1,GP-CP,att_rmse_vs_zero,0.008673374737451053
scenC_seed1,GP-CP-Extended,att_rmse_vs_zero,0.008276281261023154
scenC_seed1,FE+AR,att_coverage_vs_zero,1.0
scenC_seed1,GP-CP,att_coverage_vs_zero,1.0
scenC_seed1,GP-CP-Extended,att_coverage_vs_zero,1.0
scenC_seed1,FE+AR,att_ci_width_avg_over_t,0.25136240073564753
scenC_seed1,GP-CP,att_ci_width_avg_over_t,0.21115845600222594
scenC_seed1,GP-CP-Extended,att_ci_width_avg_over_t,0.31081285770857303
