model,effect_type,metric,value,task
FE+AR,alpha,Bias,-1.3877787807814457e-17,fit
FE+AR,alpha,RMSE,0.0308912265338476,fit
FE+AR,alpha,Coverage,1.0,fit
FE+AR,alpha,CI_Width,0.493554922386776,fit
FE+AR,beta,Bias,3.14563190310461e-17,fit
FE+AR,beta,RMSE,0.067412660297155,fit
FE+AR,beta,Coverage,1.0,fit
FE+AR,beta,CI_Width,0.8697304852751134,fit
FE+AR,gamma,Bias,1.8503717077085938e-17,fit
FE+AR,gamma,RMSE,0.9141937152500006,fit
FE+AR,gamma,Coverage,0.0,fit
FE+AR,gamma,CI_Width,,fit
GP-CP,alpha,Bias,-6.036837696399288e-17,fit
GP-CP,alpha,RMSE,0.0399121650702016,fit
GP-CP,alpha,Coverage,1.0,fit
GP-CP,alpha,CI_Width,0.3451709222438272,fit
GP-CP,beta,Bias,2.7755575615628914e-17,fit
GP-CP,beta,RMSE,0.1012517424077753,fit
GP-CP,beta,Coverage,1.0,fit
GP-CP,beta,CI_Width,0.5350588605014909,fit
GP-CP,gamma,Bias,1.8503717077085938e-17,fit
GP-CP,gamma,RMSE,0.9141937152500006,fit
GP-CP,gamma,Coverage,0.0,fit
GP-CP,gamma,CI_Width,,fit
GP-CP-Extended,alpha,Bias,-8.604228440844962e-17,fit
GP-CP-Extended,alpha,RMSE,0.0247503650676743,fit
GP-CP-Extended,alpha,Coverage,1.0,fit
GP-CP-Extended,alpha,CI_Width,0.1160451573704172,fit
GP-CP-Extended,beta,Bias,-6.47630097698008e-18,fit
GP-CP-Extended,beta,RMSE,0.0595422764869334,fit
GP-CP-Extended,beta,Coverage,0.9,fit
GP-CP-Extended,beta,CI_Width,0.2014299323472214,fit
GP-CP-Extended,gamma,Bias,3.4231876592608994e-18,fit
GP-CP-Extended,gamma,RMSE,0.1800939771224959,fit
GP-CP-Extended,gamma,Coverage,0.9341666666666668,fit
GP-CP-Extended,gamma,CI_Width,0.6654924787253119,fit
FE+AR,gamma,Bias,,fit
