category,model,metric,value
scenB_seed1,FE+AR,tau_mae_avg_over_cohorts,0.3278942543028325
scenB_seed1,GP-CP,tau_mae_avg_over_cohorts,0.2885993898565706
scenB_seed1,GP-CP-Extended,tau_mae_avg_over_cohorts,0.27833969164361405
scenB_seed1,FE+AR,tau_rmse_avg_over_cohorts,0.35793241240568263
scenB_seed1,GP-CP,tau_rmse_avg_over_cohorts,0.3026355007046737
scenB_seed1,GP-CP-Extended,tau_rmse_avg_over_cohorts,0.3213923473178896
scenB_seed1,FE+AR,tau_coverage_avg_over_cohorts,0.9525000000000001
scenB_seed1,GP-CP,tau_coverage_avg_over_cohorts,0.9916666666666667
scenB_seed1,GP-CP-Extended,tau_coverage_avg_over_cohorts,0.985
scenB_seed1,FE+AR,tau_ci_width_avg_over_cohorts,1.8522052059608387
scenB_seed1,GP-CP,tau_ci_width_avg_over_cohorts,1.5187470249398145
scenB_seed1,GP-CP-Extended,tau_ci_width_avg_over_cohorts,2.0364698826453504
scenB_seed1,FE+AR,tau_ci_width_std_over_cohorts,0.95151126577741
scenB_seed1,GP-CP,tau_ci_width_std_over_cohorts,1.133011233653011
scenB_seed1,GP-CP-Extended,tau_ci_width_std_over_cohorts,1.4878527535531785
scenB_seed1,FE+AR,att_avg_over_t,-0.5022267077949538
scenB_seed1,GP-CP,att_avg_over_t,0.01580170094354124
scenB_seed1,GP-CP-Extended,att_avg_over_t,0.02073834103477542
scenB_seed1,FE+AR,att_mae_vs_zero,0.5022267077949538
scenB_seed1,GP-CP,att_mae_vs_zero,0.01580170094354124
scenB_seed1,GP-CP-Extended,att_mae_vs_zero,0.02073834103477542
scenB_seed1,FE+AR,att_rmse_vs_zero,0.5022267077949538
scenB_seed1,GP-CP,att_rmse_vs_zero,0.01580170094354124
scenB_seed1,GP-CP-Extended,att_rmse_vs_zero,0.02073834103477542
scenB_seed1,FE+AR,att_coverage_vs_zero,0.0
scenB_seed1,GP-CP,att_coverage_vs_zero,1.0
scenB_seed1,GP-CP-Extended,att_coverage_vs_zero,1.0
scenB_seed1,FE+AR,att_ci_width_avg_over_t,0.7717756923906518
scenB_seed1,GP-CP,att_ci_width_avg_over_t,0.7574397494303058
scenB_seed1,GP-CP-Extended,att_ci_width_avg_over_t,1.0114049893085426
