model,effect_type,metric,value,task
FE+AR,alpha,Bias,-1.1102230246251566e-17,fit
FE+AR,alpha,RMSE,0.0262415145612199,fit
FE+AR,alpha,Coverage,1.0,fit
FE+AR,alpha,CI_Width,1.00994193181999,fit
FE+AR,beta,Bias,-2.0354088784794538e-17,fit
FE+AR,beta,RMSE,0.0573130808743107,fit
FE+AR,beta,Coverage,1.0,fit
FE+AR,beta,CI_Width,1.7796951192660633,fit
FE+AR,gamma,Bias,2.5165055224836877e-17,fit
FE+AR,gamma,RMSE,1.9558730212350797,fit
FE+AR,gamma,Coverage,0.0,fit
FE+AR,gamma,CI_Width,,fit
GP-CP,alpha,Bias,2.0816681711721685e-17,fit
GP-CP,alpha,RMSE,0.0784904135772177,fit
GP-CP,alpha,Coverage,1.0,fit
GP-CP,alpha,CI_Width,0.5290114234220213,fit
GP-CP,beta,Bias,-4.070817756958907e-17,fit
GP-CP,beta,RMSE,0.1611791721031755,fit
GP-CP,beta,Coverage,1.0,fit
GP-CP,beta,CI_Width,0.7042114242271312,fit
GP-CP,gamma,Bias,2.5165055224836877e-17,fit
GP-CP,gamma,RMSE,1.9558730212350797,fit
GP-CP,gamma,Coverage,0.0,fit
GP-CP,gamma,CI_Width,,fit
GP-CP-Extended,alpha,Bias,1.1102230246251566e-17,fit
GP-CP-Extended,alpha,RMSE,0.0232499837097479,fit
GP-CP-Extended,alpha,Coverage,1.0,fit
GP-CP-Extended,alpha,CI_Width,0.0990815874167074,fit
GP-CP-Extended,beta,Bias,-1.6653345369377347e-17,fit
GP-CP-Extended,beta,RMSE,0.0314268493066032,fit
GP-CP-Extended,beta,Coverage,1.0,fit
GP-CP-Extended,beta,CI_Width,0.1657909108026286,fit
GP-CP-Extended,gamma,Bias,1.6884641832840925e-18,fit
GP-CP-Extended,gamma,RMSE,0.0232800158687067,fit
GP-CP-Extended,gamma,Coverage,1.0,fit
GP-CP-Extended,gamma,CI_Width,0.1365403066155941,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,0.44612681349763916,extrapolation
FE+AR,beta,MAPE,1264.193439581341,extrapolation
FE+AR,beta,RMSE,0.4782660442938117,extrapolation
FE+AR,beta,Coverage,0.7333333333333333,extrapolation
FE+AR,beta,CI_Width,1.3514434026822866,extrapolation
GP-CP,beta,MAE,0.3931143828421987,extrapolation
GP-CP,beta,MAPE,386.2444470896009,extrapolation
GP-CP,beta,RMSE,0.42961622247184755,extrapolation
