category,model,metric,value
scenC_seed0,FE+AR,tau_mae_avg_over_cohorts,0.13740969271391215
scenC_seed0,GP-CP,tau_mae_avg_over_cohorts,0.07696042948705589
scenC_seed0,GP-CP-Extended,tau_mae_avg_over_cohorts,0.08986405141731314
scenC_seed0,FE+AR,tau_rmse_avg_over_cohorts,0.14217262288667512
scenC_seed0,GP-CP,tau_rmse_avg_over_cohorts,0.07929814490368664
scenC_seed0,GP-CP-Extended,tau_rmse_avg_over_cohorts,0.09680658210924745
scenC_seed0,FE+AR,tau_coverage_avg_over_cohorts,0.9008333333333333
scenC_seed0,GP-CP,tau_coverage_avg_over_cohorts,1.0
scenC_seed0,GP-CP-Extended,tau_coverage_avg_over_cohorts,1.0
scenC_seed0,FE+AR,tau_ci_width_avg_over_cohorts,0.6502277920782104
scenC_seed0,GP-CP,tau_ci_width_avg_over_cohorts,0.4579119702095667
scenC_seed0,GP-CP-Extended,tau_ci_width_avg_over_cohorts,0.784520650227419
scenC_seed0,FE+AR,tau_ci_width_std_over_cohorts,0.4089655119867433
scenC_seed0,GP-CP,tau_ci_width_std_over_cohorts,0.3704432193641096
scenC_seed0,GP-CP-Extended,tau_ci_width_std_over_cohorts,0.2880409159545867
scenC_seed0,FE+AR,att_avg_over_t,-0.4569920178849223
scenC_seed0,GP-CP,att_avg_over_t,0.0043635526715216566
scenC_seed0,GP-CP-Extended,att_avg_over_t,0.0044872497098557675
scenC_seed0,FE+AR,att_mae_vs_zero,0.4569920178849223
scenC_seed0,GP-CP,att_mae_vs_zero,0.0043635526715216566
scenC_seed0,GP-CP-Extended,att_mae_vs_zero,0.0044872497098557675
scenC_seed0,FE+AR,att_rmse_vs_zero,0.4569920178849223
scenC_seed0,GP-CP,att_rmse_vs_zero,0.0043635526715216566
scenC_seed0,GP-CP-Extended,att_rmse_vs_zero,0.0044872497098557675
scenC_seed0,FE+AR,att_coverage_vs_zero,0.0
scenC_seed0,GP-CP,att_coverage_vs_zero,1.0
scenC_seed0,GP-CP-Extended,att_coverage_vs_zero,1.0
scenC_seed0,FE+AR,att_ci_width_avg_over_t,0.29651270581967404
scenC_seed0,GP-CP,att_ci_width_avg_over_t,0.2362201058953342
scenC_seed0,GP-CP-Extended,att_ci_width_avg_over_t,0.27796679978332356
