model,effect_type,metric,value,task
FE+AR,alpha,Bias,9.71445146547012e-18,fit
FE+AR,alpha,RMSE,0.0262415145612203,fit
FE+AR,alpha,Coverage,1.0,fit
FE+AR,alpha,CI_Width,0.1546619693486244,fit
FE+AR,beta,Bias,-1.3877787807814457e-17,fit
FE+AR,beta,RMSE,0.0573130808743108,fit
FE+AR,beta,Coverage,1.0,fit
FE+AR,beta,CI_Width,0.2725415623547794,fit
GP-CP,alpha,Bias,2.2204460492503132e-17,fit
GP-CP,alpha,RMSE,0.0232503228511946,fit
GP-CP,alpha,Coverage,1.0,fit
GP-CP,alpha,CI_Width,0.0985400550689104,fit
GP-CP,beta,Bias,9.251858538542969e-18,fit
GP-CP,beta,RMSE,0.0313556596902464,fit
GP-CP,beta,Coverage,1.0,fit
GP-CP,beta,CI_Width,0.1656313799571293,fit
GP-CP-Extended,alpha,Bias,1.6653345369377347e-17,fit
GP-CP-Extended,alpha,RMSE,0.0232026024767033,fit
GP-CP-Extended,alpha,Coverage,1.0,fit
GP-CP-Extended,alpha,CI_Width,0.097931073198591,fit
GP-CP-Extended,beta,Bias,-2.868076146948322e-17,fit
GP-CP-Extended,beta,RMSE,0.0314055289647811,fit
GP-CP-Extended,beta,Coverage,1.0,fit
GP-CP-Extended,beta,CI_Width,0.1639711522721919,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,0.4461268134976395,extrapolation
FE+AR,beta,MAPE,1264.1934395813519,extrapolation
FE+AR,beta,RMSE,0.4782660442938125,extrapolation
FE+AR,beta,Coverage,0.7333333333333333,extrapolation
FE+AR,beta,CI_Width,1.3514434026822884,extrapolation
GP-CP,beta,MAE,0.32939730162115005,extrapolation
GP-CP,beta,MAPE,302.65152823800327,extrapolation
GP-CP,beta,RMSE,0.35940187400551776,extrapolation
GP-CP,beta,Coverage,1.0,extrapolation
GP-CP,beta,CI_Width,1.100643086041773,extrapolation
GP-CP-Extended,beta,MAE,0.32604978954441305,extrapolation
GP-CP-Extended,beta,MAPE,331.2547380460002,extrapolation
GP-CP-Extended,beta,RMSE,0.3556516914308838,extrapolation
GP-CP-Extended,beta,Coverage,1.0,extrapolation
GP-CP-Extended,beta,CI_Width,1.0708198838704415,extrapolation
FE+AR,y,Bias,0.2214962745615614,extrapolation_y
FE+AR,y,MAE,0.4771781940294248,extrapolation_y
FE+AR,y,RMSE,0.5649150136436297,extrapolation_y
GP-CP,y,Bias,0.005005272607024471,extrapolation_y
GP-CP,y,MAE,0.3818228171317547,extrapolation_y
GP-CP,y,RMSE,0.47378405324498385,extrapolation_y
GP-CP-Extended,y,Bias,0.005088392387686492,extrapolation_y
GP-CP-Extended,y,MAE,0.3788591408708889,extrapolation_y
GP-CP-Extended,y,RMSE,0.4701163451312247,extrapolation_y
FE+AR,tau_att,tau_mae_avg_over_cohorts,0.12146695983709961,placebo_te
GP-CP,tau_att,tau_mae_avg_over_cohorts,0.08432738865745178,placebo_te
GP-CP-Extended,tau_att,tau_mae_avg_over_cohorts,0.13880135582554842,placebo_te
FE+AR,tau_att,tau_rmse_avg_over_cohorts,0.12467188361555816,placebo_te
GP-CP,tau_att,tau_rmse_avg_over_cohorts,0.0857529856816642,placebo_te
GP-CP-Extended,tau_att,tau_rmse_avg_over_cohorts,0.15294184311452183,placebo_te
FE+AR,tau_att,tau_coverage_avg_over_cohorts,0.9525000000000001,placebo_te
GP-CP,tau_att,tau_coverage_avg_over_cohorts,1.0,placebo_te
GP-CP-Extended,tau_att,tau_coverage_avg_over_cohorts,1.0,placebo_te
FE+AR,tau_att,tau_ci_width_avg_over_cohorts,0.6865704924908076,placebo_te
GP-CP,tau_att,tau_ci_width_avg_over_cohorts,0.49299978164561825,placebo_te
GP-CP-Extended,tau_att,tau_ci_width_avg_over_cohorts,0.8414226481883645,placebo_te
FE+AR,tau_att,tau_ci_width_std_over_cohorts,0.4319402702155698,placebo_te
GP-CP,tau_att,tau_ci_width_std_over_cohorts,0.3880169942004297,placebo_te
GP-CP-Extended,tau_att,tau_ci_width_std_over_cohorts,0.31044040120181193,placebo_te
FE+AR,tau_att,att_avg_over_t,-0.22014122221205046,placebo_te
GP-CP,tau_att,att_avg_over_t,-0.0004775601446111999,placebo_te
GP-CP-Extended,tau_att,att_avg_over_t,-0.00057935522138803,placebo_te
FE+AR,tau_att,att_mae_vs_zero,0.22014122221205046,placebo_te
GP-CP,tau_att,att_mae_vs_zero,0.0004775601446111999,placebo_te
GP-CP-Extended,tau_att,att_mae_vs_zero,0.00057935522138803,placebo_te
FE+AR,tau_att,att_rmse_vs_zero,0.22014122221205046,placebo_te
GP-CP,tau_att,att_rmse_vs_zero,0.0004775601446111999,placebo_te
GP-CP-Extended,tau_att,att_rmse_vs_zero,0.00057935522138803,placebo_te
FE+AR,tau_att,att_coverage_vs_zero,0.0,placebo_te
GP-CP,tau_att,att_coverage_vs_zero,1.0,placebo_te
GP-CP-Extended,tau_att,att_coverage_vs_zero,1.0,placebo_te
FE+AR,tau_att,att_ci_width_avg_over_t,0.31314913670302674,placebo_te
GP-CP,tau_att,att_ci_width_avg_over_t,0.25173480909894186,placebo_te
GP-CP-Extended,tau_att,att_ci_width_avg_over_t,0.3017597830352182,placebo_te
