category,model,metric,value
scenD_seed1,FE+AR,tau_mae_avg_over_cohorts,0.7259458872570591
scenD_seed1,GP-CP,tau_mae_avg_over_cohorts,0.7050626848867747
scenD_seed1,GP-CP-Extended,tau_mae_avg_over_cohorts,0.10497268498746905
scenD_seed1,FE+AR,tau_rmse_avg_over_cohorts,0.8457203061614212
scenD_seed1,GP-CP,tau_rmse_avg_over_cohorts,0.8211139067083263
scenD_seed1,GP-CP-Extended,tau_rmse_avg_over_cohorts,0.11930703512501924
scenD_seed1,FE+AR,tau_coverage_avg_over_cohorts,0.87
scenD_seed1,GP-CP,tau_coverage_avg_over_cohorts,0.4208333333333334
scenD_seed1,GP-CP-Extended,tau_coverage_avg_over_cohorts,0.9241666666666667
scenD_seed1,FE+AR,tau_ci_width_avg_over_cohorts,2.472884630515468
scenD_seed1,GP-CP,tau_ci_width_avg_over_cohorts,1.1620513842841154
scenD_seed1,GP-CP-Extended,tau_ci_width_avg_over_cohorts,0.5699516942206163
scenD_seed1,FE+AR,tau_ci_width_std_over_cohorts,0.05708207346717328
scenD_seed1,GP-CP,tau_ci_width_std_over_cohorts,0.16602092003395078
scenD_seed1,GP-CP-Extended,tau_ci_width_std_over_cohorts,0.37707909583100346
scenD_seed1,FE+AR,att_avg_over_t,-0.07071095651188122
scenD_seed1,GP-CP,att_avg_over_t,0.002073509210584991
scenD_seed1,GP-CP-Extended,att_avg_over_t,0.008721344453626292
scenD_seed1,FE+AR,att_mae_vs_zero,0.07071095651188122
scenD_seed1,GP-CP,att_mae_vs_zero,0.002073509210584991
scenD_seed1,GP-CP-Extended,att_mae_vs_zero,0.008721344453626292
scenD_seed1,FE+AR,att_rmse_vs_zero,0.07071095651188122
scenD_seed1,GP-CP,att_rmse_vs_zero,0.002073509210584991
scenD_seed1,GP-CP-Extended,att_rmse_vs_zero,0.008721344453626292
scenD_seed1,FE+AR,att_coverage_vs_zero,1.0
scenD_seed1,GP-CP,att_coverage_vs_zero,1.0
scenD_seed1,GP-CP-Extended,att_coverage_vs_zero,1.0
scenD_seed1,FE+AR,att_ci_width_avg_over_t,0.5362722809595121
scenD_seed1,GP-CP,att_ci_width_avg_over_t,0.3163884051443309
scenD_seed1,GP-CP-Extended,att_ci_width_avg_over_t,0.25395866974438425
