category,model,metric,value
scenA_seed2,FE+AR,tau_mae_avg_over_cohorts,0.284493370637003
scenA_seed2,GP-CP,tau_mae_avg_over_cohorts,0.11923709440478832
scenA_seed2,GP-CP-Extended,tau_mae_avg_over_cohorts,0.13851709042062318
scenA_seed2,FE+AR,tau_rmse_avg_over_cohorts,0.28636531316050884
scenA_seed2,GP-CP,tau_rmse_avg_over_cohorts,0.1214414171192901
scenA_seed2,GP-CP-Extended,tau_rmse_avg_over_cohorts,0.1501502455401137
scenA_seed2,FE+AR,tau_coverage_avg_over_cohorts,0.9475
scenA_seed2,GP-CP,tau_coverage_avg_over_cohorts,1.0
scenA_seed2,GP-CP-Extended,tau_coverage_avg_over_cohorts,1.0
scenA_seed2,FE+AR,tau_ci_width_avg_over_cohorts,1.0600478355704328
scenA_seed2,GP-CP,tau_ci_width_avg_over_cohorts,0.8775155641970765
scenA_seed2,GP-CP-Extended,tau_ci_width_avg_over_cohorts,1.2878690500135026
scenA_seed2,FE+AR,tau_ci_width_std_over_cohorts,1.1175534095172877
scenA_seed2,GP-CP,tau_ci_width_std_over_cohorts,0.9525325003494318
scenA_seed2,GP-CP-Extended,tau_ci_width_std_over_cohorts,0.8007089389279051
scenA_seed2,FE+AR,att_avg_over_t,0.8629902433426424
scenA_seed2,GP-CP,att_avg_over_t,0.00641120698832418
scenA_seed2,GP-CP-Extended,att_avg_over_t,0.005220377597362906
scenA_seed2,FE+AR,att_mae_vs_zero,0.8629902433426424
scenA_seed2,GP-CP,att_mae_vs_zero,0.00641120698832418
scenA_seed2,GP-CP-Extended,att_mae_vs_zero,0.005220377597362906
scenA_seed2,FE+AR,att_rmse_vs_zero,0.8629902433426424
scenA_seed2,GP-CP,att_rmse_vs_zero,0.00641120698832418
scenA_seed2,GP-CP-Extended,att_rmse_vs_zero,0.005220377597362906
scenA_seed2,FE+AR,att_coverage_vs_zero,0.0
scenA_seed2,GP-CP,att_coverage_vs_zero,1.0
scenA_seed2,GP-CP-Extended,att_coverage_vs_zero,1.0
scenA_seed2,FE+AR,att_ci_width_avg_over_t,0.6564849153712874
scenA_seed2,GP-CP,att_ci_width_avg_over_t,0.5525164326211269
scenA_seed2,GP-CP-Extended,att_ci_width_avg_over_t,0.5870514497971999
