model,effect_type,metric,value,task
FE+AR,alpha,Bias,1.2628786905111155e-16,fit
FE+AR,alpha,RMSE,0.0412140710928936,fit
FE+AR,alpha,Coverage,1.0,fit
FE+AR,alpha,CI_Width,0.4771363896639739,fit
FE+AR,beta,Bias,6.938893903907228e-18,fit
FE+AR,beta,RMSE,0.0619502685583141,fit
FE+AR,beta,Coverage,1.0,fit
FE+AR,beta,CI_Width,0.8407981460666358,fit
FE+AR,gamma,Bias,-1.9984014443252817e-17,fit
FE+AR,gamma,RMSE,0.8851025215753021,fit
FE+AR,gamma,Coverage,0.0,fit
FE+AR,gamma,CI_Width,,fit
GP-CP,alpha,Bias,3.4694469519536136e-17,fit
GP-CP,alpha,RMSE,0.0460234328716011,fit
GP-CP,alpha,Coverage,1.0,fit
GP-CP,alpha,CI_Width,0.3622315577628526,fit
GP-CP,beta,Bias,5.736152293896643e-17,fit
GP-CP,beta,RMSE,0.0871987835525848,fit
GP-CP,beta,Coverage,1.0,fit
GP-CP,beta,CI_Width,0.542408929083491,fit
GP-CP,gamma,Bias,-1.9984014443252817e-17,fit
GP-CP,gamma,RMSE,0.8851025215753021,fit
GP-CP,gamma,Coverage,0.0,fit
GP-CP,gamma,CI_Width,,fit
GP-CP-Extended,alpha,Bias,-6.938893903907228e-18,fit
GP-CP-Extended,alpha,RMSE,0.0359961729654573,fit
GP-CP-Extended,alpha,Coverage,0.9,fit
GP-CP-Extended,alpha,CI_Width,0.1227435350741507,fit
GP-CP-Extended,beta,Bias,-8.280413391995958e-17,fit
GP-CP-Extended,beta,RMSE,0.0469762472215436,fit
GP-CP-Extended,beta,Coverage,0.9666666666666668,fit
GP-CP-Extended,beta,CI_Width,0.2016797147734916,fit
GP-CP-Extended,gamma,Bias,-3.1548837616431527e-17,fit
GP-CP-Extended,gamma,RMSE,0.1763411867695705,fit
GP-CP-Extended,gamma,Coverage,0.9516666666666668,fit
GP-CP-Extended,gamma,CI_Width,0.6861983073302504,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,1.123796326484391,extrapolation
FE+AR,beta,MAPE,1223.173044609356,extrapolation
FE+AR,beta,RMSE,1.30537013323807,extrapolation
FE+AR,beta,Coverage,0.9333333333333332,extrapolation
FE+AR,beta,CI_Width,4.010941987465309,extrapolation
GP-CP,beta,MAE,0.568110521973656,extrapolation
GP-CP,beta,MAPE,203.80831206245347,extrapolation
GP-CP,beta,RMSE,0.6811666356481987,extrapolation
GP-CP,beta,Coverage,1.0,extrapolation
GP-CP,beta,CI_Width,3.4275947013625756,extrapolation
GP-CP-Extended,beta,MAE,0.5251120385636495,extrapolation
GP-CP-Extended,beta,MAPE,236.5248073508718,extrapolation
GP-CP-Extended,beta,RMSE,0.6658076531824642,extrapolation
GP-CP-Extended,beta,Coverage,1.0,extrapolation
GP-CP-Extended,beta,CI_Width,3.327521697070257,extrapolation
FE+AR,y,Bias,-1.069241118080336,extrapolation_y
FE+AR,y,MAE,1.2755313546590057,extrapolation_y
FE+AR,y,RMSE,1.6291679403882182,extrapolation_y
GP-CP,y,Bias,0.0278594695483204,extrapolation_y
GP-CP,y,MAE,1.0081905613614877,extrapolation_y
GP-CP,y,RMSE,1.214584271828936,extrapolation_y
GP-CP-Extended,y,Bias,0.0358174272087238,extrapolation_y
GP-CP-Extended,y,MAE,0.9661970916196976,extrapolation_y
GP-CP-Extended,y,RMSE,1.1802271188840483,extrapolation_y
FE+AR,tau_att,tau_mae_avg_over_cohorts,0.3647290545200452,placebo_te
GP-CP,tau_att,tau_mae_avg_over_cohorts,0.2260134679354853,placebo_te
GP-CP-Extended,tau_att,tau_mae_avg_over_cohorts,0.2387158102796497,placebo_te
FE+AR,tau_att,tau_rmse_avg_over_cohorts,0.3824179429518116,placebo_te
GP-CP,tau_att,tau_rmse_avg_over_cohorts,0.240972812376189,placebo_te
GP-CP-Extended,tau_att,tau_rmse_avg_over_cohorts,0.279599402157249,placebo_te
FE+AR,tau_att,tau_coverage_avg_over_cohorts,0.9825,placebo_te
GP-CP,tau_att,tau_coverage_avg_over_cohorts,1.0,placebo_te
GP-CP-Extended,tau_att,tau_coverage_avg_over_cohorts,0.995,placebo_te
FE+AR,tau_att,tau_ci_width_avg_over_cohorts,2.0859080759703374,placebo_te
GP-CP,tau_att,tau_ci_width_avg_over_cohorts,1.591025382164208,placebo_te
GP-CP-Extended,tau_att,tau_ci_width_avg_over_cohorts,2.1095254908736174,placebo_te
FE+AR,tau_att,tau_ci_width_std_over_cohorts,1.2754709775551796,placebo_te
GP-CP,tau_att,tau_ci_width_std_over_cohorts,1.166903090302188,placebo_te
GP-CP-Extended,tau_att,tau_ci_width_std_over_cohorts,1.6130583249105297,placebo_te
FE+AR,tau_att,att_avg_over_t,1.0783962601250652,placebo_te
GP-CP,tau_att,att_avg_over_t,-0.0195473123381878,placebo_te
GP-CP-Extended,tau_att,att_avg_over_t,-0.0239424553725935,placebo_te
FE+AR,tau_att,att_mae_vs_zero,1.0783962601250652,placebo_te
GP-CP,tau_att,att_mae_vs_zero,0.0195473123381878,placebo_te
GP-CP-Extended,tau_att,att_mae_vs_zero,0.0239424553725935,placebo_te
FE+AR,tau_att,att_rmse_vs_zero,1.0783962601250652,placebo_te
GP-CP,tau_att,att_rmse_vs_zero,0.0195473123381878,placebo_te
GP-CP-Extended,tau_att,att_rmse_vs_zero,0.0239424553725935,placebo_te
FE+AR,tau_att,att_coverage_vs_zero,0.0,placebo_te
GP-CP,tau_att,att_coverage_vs_zero,1.0,placebo_te
GP-CP-Extended,tau_att,att_coverage_vs_zero,1.0,placebo_te
FE+AR,tau_att,att_ci_width_avg_over_t,0.932524276717812,placebo_te
GP-CP,tau_att,att_ci_width_avg_over_t,0.7869746363843223,placebo_te
GP-CP-Extended,tau_att,att_ci_width_avg_over_t,1.0736609825419414,placebo_te
